dep,awesome_rust_repos_using_dep,crate_category,crate_total_downloads,crate_recent_downloads,repo_url
socket2,35,API bindings,384013148,51710350,https://github.com/rust-lang/socket2
tracing,137,Asynchronous,309141192,42262134,https://github.com/tokio-rs/tracing
subtle,13,Cryptography,243677859,36357229,https://github.com/dalek-cryptography/subtle
ahash,47,Algorithms,324480508,41648934,https://github.com/tkaitchuck/ahash
env_logger,97,Debugging,269914689,34834686,https://github.com/rust-cli/env_logger
mime_guess,24,,113289516,13423852,https://github.com/abonander/mime_guess
utoipa,11,Web programming,9621231,2363250,https://github.com/juhaku/utoipa
libloading,14,API bindings,203717388,26198537,https://github.com/nagisa/rust_libloading/
tikv-jemallocator,19,Memory management,31736000,6655588,https://github.com/tikv/jemallocator
time,90,Date and time,395968712,41462137,https://github.com/time-rs/time
schemars,30,Encoding,54592252,12254491,https://github.com/GREsau/schemars
half,14,Data structures,165157736,27230734,https://github.com/VoidStarKat/half-rs
rayon,104,Concurrency,217134429,28961434,https://github.com/rayon-rs/rayon
tonic-build,14,Asynchronous,93437189,14847234,https://github.com/hyperium/tonic
glob,36,Filesystem,235010564,33021950,https://github.com/rust-lang/glob
raw-window-handle,14,,32712139,5021815,https://github.com/rust-windowing/raw-window-handle
heck,21,,480793657,73841138,https://github.com/withoutboats/heck
cfg-if,50,,568542936,72473298,https://github.com/rust-lang/cfg-if
pin-project-lite,37,Rust patterns,370682899,49194720,https://github.com/taiki-e/pin-project-lite
tower-layer,13,Asynchronous,155635046,26795263,https://github.com/tower-rs/tower
tower-http,34,Asynchronous,97460654,20347462,https://github.com/tower-rs/tower-http
ansi_term,15,,148291142,10240089,https://github.com/ogham/rust-ansi-term
derivative,12,Rust patterns,100313487,12578316,https://github.com/mcarton/rust-derivative
tower-service,22,Asynchronous,236927424,33036801,https://github.com/tower-rs/tower
ipnetwork,17,Network programming,31615009,5933277,https://github.com/achanda/ipnetwork
smol_str,14,,32827539,7000092,https://github.com/rust-analyzer/smol_str
comfy-table,17,,36036262,6923491,https://github.com/nukesor/comfy-table
crc32fast,15,,264065657,33831377,https://github.com/srijs/rust-crc32fast
criterion,44,Profiling,105074382,17399626,https://github.com/bheisler/criterion.rs
tar,31,,84918813,12609031,https://github.com/alexcrichton/tar-rs
prost-types,11,,159518001,25130566,https://github.com/tokio-rs/prost
serde_urlencoded,18,Encoding,218833080,29513009,https://github.com/nox/serde_urlencoded
hyper-util,30,HTTP client,96662630,28446217,https://github.com/hyperium/hyper-util
openssl,30,API bindings,180779712,21862186,https://github.com/sfackler/rust-openssl
bitflags,84,,697839245,97650828,https://github.com/bitflags/bitflags
zeroize,24,Memory management,212353194,34875301,https://github.com/RustCrypto/utils/tree/master/zeroize
sha1,26,Cryptography,174605162,24523089,https://github.com/RustCrypto/hashes
parking_lot,95,Concurrency,435094820,51166048,https://github.com/Amanieu/parking_lot
actix-web,12,Asynchronous,39892006,5478471,https://github.com/actix/actix-web
cc,16,Build Utils,461554322,60411519,https://github.com/rust-lang/cc-rs
brotli,18,Compression,86450122,17358961,https://github.com/dropbox/rust-brotli
log,253,Debugging,489034718,65401391,https://github.com/rust-lang/log
itertools,126,Rust patterns,538150803,95561280,https://github.com/rust-itertools/itertools
crossbeam-channel,47,Algorithms,249136985,27550476,https://github.com/crossbeam-rs/crossbeam
rand_chacha,16,Algorithms,489039994,78821855,https://github.com/rust-random/rand
linked-hash-map,17,,140641720,14905407,https://github.com/contain-rs/linked-hash-map
rand,226,Algorithms,583351079,87849876,https://github.com/rust-random/rand
rfd,12,,6187928,1311446,https://github.com/PolyMeilex/rfd
prometheus,21,,45278742,6231775,https://github.com/tikv/rust-prometheus
rmp-serde,14,Encoding,47842797,8492348,https://github.com/3Hren/msgpack-rust
strum,79,Procedural macro helpers,214538953,36319698,https://github.com/Peternator7/strum
sqlx,22,,41950075,7801068,https://github.com/launchbadge/sqlx
memchr,37,,513154558,70357162,https://github.com/BurntSushi/memchr
prost,28,Encoding,197179189,31910520,https://github.com/tokio-rs/prost
mio,16,Asynchronous,362582497,50623968,https://github.com/tokio-rs/mio
hmac,25,Cryptography,219668134,27876573,https://github.com/RustCrypto/MACs
snap,19,,45337762,7569027,https://github.com/BurntSushi/rust-snappy
nix,50,Unix APIs,284989292,39562062,https://github.com/nix-rust/nix
sha3,14,Cryptography,68325906,8186246,https://github.com/RustCrypto/hashes
unicode-width,50,Command-line interface,302466131,47737809,https://github.com/unicode-rs/unicode-width
paste,39,No dynamic allocation,222220842,29956137,https://github.com/dtolnay/paste
byteorder,65,Encoding,344988087,43475545,https://github.com/BurntSushi/byteorder
crossbeam,24,Concurrency,57768210,6147443,https://github.com/crossbeam-rs/crossbeam
aes,11,Cryptography,118656290,16057069,https://github.com/RustCrypto/block-ciphers
winit,18,GUI,20668405,3291451,https://github.com/rust-windowing/winit
proptest,16,Testing,55853217,11436997,https://github.com/proptest-rs/proptest
headers,11,Web programming,67491424,10623054,https://github.com/hyperium/headers
tracing-subscriber,101,Asynchronous,205221954,29372338,https://github.com/tokio-rs/tracing
clap_complete,42,Command-line interface,36723903,6586962,https://github.com/clap-rs/clap
prost-build,14,,133072989,20026113,https://github.com/tokio-rs/prost
rust_decimal,23,Science,44778413,8345468,https://github.com/paupino/rust-decimal
pin-project,22,No dynamic allocation,239897510,29726261,https://github.com/taiki-e/pin-project
flate2,79,API bindings,256905119,34243987,https://github.com/rust-lang/flate2-rs
mlua,12,API bindings,2659715,368807,https://github.com/mlua-rs/mlua
failure,13,,36665514,1164322,https://github.com/rust-lang-nursery/failure
ring,23,Cryptography,265148336,40671779,https://github.com/briansmith/ring
serde_with,33,Encoding,126674144,22020398,https://github.com/jonasbb/serde_with/
web-sys,16,,137497334,18636320,https://github.com/rustwasm/wasm-bindgen/tree/master/crates/web-sys
async-stream,27,,126898714,18182995,https://github.com/tokio-rs/async-stream
tracing-log,12,Debugging,195223850,28170515,https://github.com/tokio-rs/tracing
mockall,11,Testing,66602618,10715392,https://github.com/asomers/mockall
aes-gcm,11,Cryptography,56141860,6239064,https://github.com/RustCrypto/AEADs
rkyv,12,Encoding,43829249,8495707,https://github.com/rkyv/rkyv
rocksdb,11,Database interfaces,26923050,3929808,https://github.com/rust-rocksdb/rust-rocksdb
git2,21,API bindings,53607762,7048182,https://github.com/rust-lang/git2-rs
opentelemetry_sdk,17,,65306087,12863191,https://github.com/open-telemetry/opentelemetry-rust/tree/main/opentelemetry-sdk
color-eyre,19,,27346386,4210122,https://github.com/eyre-rs/eyre
hex,78,Encoding,251465783,34408417,https://github.com/KokaKiwi/rust-hex
console-subscriber,12,Asynchronous,16205950,2836436,https://github.com/tokio-rs/console/
