repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors,new-commits-last-30d
probablykasper/cpc,130,1,0,0,0,7.692,14,302,1802,7,Rust,false,2,Libraries,Text processing,2.000,0,0
Daniel-Liu-c0deb0t/triple_accel,104,1,1,1,0,9.615,6,707,1693,3,Rust,false,0,Libraries,Text processing,10.000,0,0
fancy-regex/fancy-regex,430,8,4,2,0,18.605,4,17,2231,25,Rust,false,3,Libraries,Text processing,28.000,3,17
greyblake/whatlang-rs,969,2,0,0,0,2.064,18,239,2927,23,Rust,false,5,Libraries,Text processing,4.000,0,0
Lucretiel/joinery,91,0,0,0,0,0.000,266,502,2303,4,Rust,false,2,Libraries,Text processing,0.000,0,0
mgeisler/textwrap,467,12,6,2,0,25.696,2,38,2886,26,Rust,false,5,Libraries,Text processing,27.000,0,0
null8626/decancer,101,1,0,0,0,9.901,28,12,1233,5,Rust,false,0,Libraries,Text processing,32.000,6,682
ps1dr3x/easy_reader,86,0,0,0,0,0.000,60,998,2387,3,Rust,false,2,Libraries,Text processing,0.000,0,0
pwoolcoc/ngrams,27,0,0,0,0,0.000,495,2994,3283,1,Rust,false,1,Libraries,Text processing,0.000,0,0
rust-lang/regex,3539,42,20,9,1,11.868,0,17,3622,189,Rust,false,4,Libraries,Text processing,47.000,1,3
yaa110/rake-rs,33,0,0,0,0,0.000,166,218,2430,4,Rust,false,3,Libraries,Text processing,0.000,0,0
andylokandy/simsearch-rs,169,3,0,0,0,17.751,20,205,2036,9,Rust,false,3,Libraries,Text search,4.000,0,0
BurntSushi/fst,1778,11,7,3,0,6.187,1,46,3355,24,Rust,false,1,Libraries,Text search,27.000,0,0
CurrySoftware/perlin,75,0,0,0,0,0.000,236,2526,2987,2,Rust,false,3,Libraries,Text search,0.000,0,0
meilisearch/MeiliSearch,47347,548,297,156,34,11.574,0,3,2393,172,Rust,false,0,Libraries,Text search,100.000,7,78
SeekStorm/SeekStorm,170,8,2,2,0,47.059,0,13,257,3,Rust,false,31,Libraries,Text search,38.000,2,13
quickwit-oss/tantivy,12099,165,74,39,5,13.637,0,2,3226,152,Rust,false,46,Libraries,Text search,100.000,7,15
nathanbabcock/ffmpeg-sidecar,273,33,27,19,0,120.879,2,4,640,11,Rust,false,2,Libraries,Video,70.000,5,24
beneills/quantum,267,0,0,0,0,0.000,35,3019,3037,1,Rust,false,2,Libraries,Virtualization,0.000,0,0
bytecodealliance/wasmtime,15372,155,63,25,2,10.083,0,2,2630,531,Rust,false,136,Libraries,Virtualization,100.000,21,83
oxidecomputer/propolis,178,2,1,0,0,11.236,12,1,1497,73,Rust,false,114,Libraries,Virtualization,49.000,4,10
saurvs/hypervisor-rs,63,1,1,1,0,15.873,6,2783,3152,1,Rust,false,1,Libraries,Virtualization,10.000,0,0
leptos-rs/leptos,16300,255,113,53,3,15.644,0,0,833,295,Rust,false,25,Libraries,Web programming,100.000,19,73
ivanceras/sauron,1979,11,5,4,0,5.558,2,162,2036,12,Rust,false,3,Libraries,Web programming,16.000,0,0
seed-rs/seed,3804,8,4,1,0,2.103,6,614,2171,55,Rust,false,15,Libraries,Web programming,12.000,0,0
alexcrichton/curl-rust,1021,4,2,1,0,3.918,6,4,3812,111,Rust,false,3,Libraries,Web programming,42.000,1,1
async-graphql/async-graphql,3378,23,10,3,1,6.809,0,36,1715,232,Rust,false,52,Libraries,Web programming,41.000,0,0
c410-f3r/wtx,194,47,30,5,0,242.268,1,2,440,2,Rust,false,0,Libraries,Web programming,80.000,2,21
ducaale/xh,5583,81,37,24,2,14.508,0,22,1522,39,Rust,false,38,Libraries,Web programming,62.000,1,6
graphql-rust/graphql-client,1148,7,4,1,0,6.098,5,16,2353,61,Rust,false,0,Libraries,Web programming,24.000,2,5
hyperium/hyper,14563,121,63,27,10,8.309,0,16,3725,391,Rust,false,16,Libraries,Web programming,74.000,2,6
penumbra-x/rquest,70,38,15,3,0,542.857,1,6,52,275,Rust,false,39,Libraries,Web programming,65.000,2,84
seanmonstar/reqwest,9911,129,71,29,2,13.016,0,3,3055,341,Rust,false,12,Libraries,Web programming,96.000,9,12
actix/actix-web,21703,242,128,53,6,11.151,0,6,2598,374,Rust,false,0,Libraries,Web programming,94.000,2,5
saru-tora/anansi,112,0,0,0,0,0.000,122,586,783,2,Rust,false,0,Libraries,Web programming,0.000,0,0
c410-f3r/wtx,194,47,30,5,0,242.268,1,2,440,2,Rust,false,0,Libraries,Web programming,80.000,2,21
carllerche/tower-web,981,2,2,1,0,2.039,3,1802,2435,27,Rust,false,27,Libraries,Web programming,12.000,0,0
danclive/sincere,96,0,0,0,0,0.000,250,1485,2847,4,Rust,false,16,Libraries,Web programming,0.000,0,0
GildedHonour/frank_jwt,252,1,1,0,0,3.968,9,352,3673,14,Rust,false,4,Libraries,Web programming,5.000,0,0
gotham-rs/gotham,2238,5,1,0,0,2.234,9,207,2668,52,Rust,false,0,Libraries,Web programming,7.000,0,0
graphul-rs/graphul,447,1,0,0,0,2.237,29,412,1034,3,Rust,false,13,Libraries,Web programming,2.000,0,0
sunng87/handlebars-rust,1289,16,7,2,0,12.413,4,2,3612,77,Rust,false,11,Libraries,Web programming,67.000,2,11
hyperium/hyper,14563,121,63,27,10,8.309,0,16,3725,391,Rust,false,16,Libraries,Web programming,74.000,2,6
iron/iron,6137,5,0,0,0,0.815,19,1339,3806,133,Rust,false,0,Libraries,Web programming,4.000,0,0
graphql-rust/juniper,5711,23,13,9,1,4.027,0,4,2982,153,Rust,false,0,Libraries,Web programming,67.000,3,6
miketang84/sapper,617,0,0,0,0,0.000,158,1699,3126,5,Rust,false,6,Libraries,Web programming,0.000,0,0
poem-web/poem,3616,87,24,15,1,24.060,0,21,1187,107,Rust,false,30,Libraries,Web programming,52.000,1,4
rwf2/Rocket,24504,186,81,46,5,7.591,0,69,3160,304,Rust,false,0,Libraries,Web programming,60.000,0,0
rustless/rustless,618,0,0,0,0,0.000,75,2440,3702,16,Rust,false,18,Libraries,Web programming,0.000,0,0
salvo-rs/salvo,3404,76,36,13,0,22.327,1,0,1830,58,Rust,false,117,Libraries,Web programming,100.000,10,25
richerarc/saphir,92,1,1,0,0,10.870,7,180,2355,15,Rust,false,0,Libraries,Web programming,5.000,0,0
seanmonstar/warp,9581,61,25,9,2,6.367,0,110,2314,175,Rust,false,24,Libraries,Web programming,40.000,0,0
spring-rs/spring-rs,487,76,35,23,7,156.057,0,2,169,5,Rust,false,51,Libraries,Web programming,100.000,3,69
tiny-http/tiny-http,1009,10,5,1,1,9.911,0,544,3772,44,Rust,false,9,Libraries,Web programming,22.000,0,0
tokio-rs/axum,19125,465,180,88,13,24.314,0,3,1260,368,Rust,false,0,Libraries,Web programming,98.000,7,13
tomaka/rouille,1128,9,7,3,1,7.979,0,153,3406,44,Rust,false,16,Libraries,Web programming,27.000,0,0
zino-rs/zino,779,20,8,2,0,25.674,1,4,683,8,Rust,false,0,Libraries,Web programming,53.000,1,10
cargonauts-rs/cargonauts,179,0,0,0,0,0.000,223,2668,2974,4,Rust,false,14,Libraries,Web programming,0.000,0,0
edezhic/prest,54,1,1,1,0,18.519,2,14,591,1,Rust,false,23,Libraries,Web programming,22.000,1,4
hominee/dyer,133,0,0,0,0,0.000,123,719,1379,2,Rust,false,18,Libraries,Web programming,0.000,0,0
osohq/oso,3473,4,2,0,0,1.152,10,150,1651,66,Rust,false,0,Libraries,Web programming,7.000,0,0
pyrossh/rust-embed,1669,30,5,3,0,17.975,2,28,3269,55,Rust,false,13,Libraries,Web programming,30.000,1,1
thewh1teagle/rookie,187,34,15,4,0,181.818,2,9,411,7,Rust,false,0,Libraries,Web programming,55.000,2,34
rust-scraper/scraper,1930,49,19,6,2,25.389,0,10,3236,28,Rust,false,0,Libraries,Web programming,57.000,2,6
serenity-rs/serenity,4780,63,23,7,4,13.180,0,4,2926,280,Rust,false,33,Libraries,Web programming,76.000,6,11
softprops/openapi,128,1,1,0,0,7.812,7,1393,2855,10,Rust,false,7,Libraries,Web programming,5.000,0,0
svix/svix-webhooks,2393,57,35,16,1,23.819,0,2,1354,54,Rust,false,0,Libraries,Web programming,100.000,7,104
tu6ge/valitron,61,0,0,0,0,0.000,40,53,450,3,Rust,false,3,Libraries,Web programming,6.000,0,0
utkarshkukreti/select.rs,972,8,3,1,0,8.230,3,300,3406,18,Rust,false,3,Libraries,Web programming,12.000,0,0
juhaku/utoipa,2465,199,46,12,1,80.730,0,2,1137,103,Rust,false,0,Libraries,Web programming,100.000,11,52
ProbablyClem/utoipauto,128,8,1,1,0,62.500,3,24,349,8,Rust,false,6,Libraries,Web programming,24.000,1,10
sozu-proxy/sozu,3092,72,35,18,3,23.286,0,2,2853,50,Rust,false,0,Libraries,Web programming,92.000,3,5
cobalt-org/cobalt.rs,1383,13,9,3,0,9.400,4,9,3666,48,Rust,false,43,Libraries,Web programming,43.000,2,5
FuGangqiang/mdblog.rs,59,1,1,1,0,16.949,3,91,3080,4,Rust,false,23,Libraries,Web programming,10.000,0,0
getzola/zola,13769,216,85,39,10,15.687,0,3,2897,416,Rust,false,17,Libraries,Web programming,94.000,1,2
grego/blades,333,1,0,0,0,3.003,21,111,1491,3,Rust,false,13,Libraries,Web programming,2.000,0,0
leven-the-blog/leven,56,0,0,0,0,0.000,330,2176,2580,3,Rust,false,11,Libraries,Web programming,0.000,0,0
c410-f3r/wtx,194,47,30,5,0,242.268,1,2,440,2,Rust,false,0,Libraries,Web programming,80.000,2,21
housleyjk/ws-rs,1471,5,2,1,0,3.399,4,450,3362,37,Rust,false,14,Libraries,Web programming,12.000,0,0
iddm/urlshortener-rs,51,2,1,0,0,39.216,12,180,3051,7,Rust,false,2,Libraries,Web programming,7.000,0,0
websockets-rs/rust-websocket,1542,7,3,1,0,4.540,1,420,3636,60,Rust,false,13,Libraries,Web programming,12.000,0,0
snapview/tungstenite-rs,1915,39,12,6,0,20.366,1,57,2795,74,Rust,false,16,Libraries,Web programming,31.000,0,0
swimos/ratchet,40,2,1,1,0,50.000,3,41,1083,7,Rust,false,26,Libraries,Web programming,18.000,0,0
vi/websocat,7122,95,52,30,3,13.339,0,5,2909,16,Rust,false,40,Libraries,Web programming,92.000,2,5
cenotelie/cratery,136,2,1,0,0,14.706,11,3,334,4,Rust,false,31,Registries,,43.000,1,12
w4/chartered,129,1,1,0,0,7.752,11,750,1171,2,Rust,false,0,Registries,,5.000,0,0
c410-f3r/wtx-bench,0,0,0,0,0,0.000,106751,12,206,1,Rust,false,0,Resources,,22.000,1,7
TeXitoi/benchmarksgame-rs,70,0,0,0,0,0.000,86,1775,3592,10,Rust,false,0,Resources,,0.000,0,0
cognitive-engineering-lab/aquascope,2015,41,19,12,4,20.347,0,43,787,3,Rust,false,1,Resources,,41.000,0,0
jamesmunns/awesome-rust-streaming,699,2,1,0,0,2.861,12,938,1658,21,,false,0,Resources,,7.000,0,0
Dhghomon/easy_rust,8097,29,14,3,0,3.582,4,659,1584,47,Shell,false,0,Resources,,25.000,0,0
mre/idiomatic-rust,6610,89,46,19,3,13.464,0,184,2748,19,Rust,false,0,Resources,,50.000,0,0
cuppar/rtd,511,18,4,3,1,35.225,0,432,475,1,Rust,false,2,Resources,,26.000,0,0
ad-si/Rust-Flashcards,539,8,4,4,0,14.842,1,138,252,6,Rust,false,0,Resources,,12.000,0,0
warycat/rustgym,896,8,4,3,1,8.929,0,888,1965,5,Rust,false,0,Resources,,22.000,0,0
jondot/rust-how-do-i-start,1076,7,4,2,0,6.506,1,648,950,3,,false,0,Resources,,12.000,0,0
ctjhoa/rust-learning,11516,60,29,10,0,5.210,1,17,3475,110,,false,0,Resources,,40.000,1,1
rust-lang/rustlings,54114,862,404,224,34,15.929,0,12,3345,426,Rust,false,9,Resources,,100.000,3,24
AbdesamedBendjeddou/Rusty-CS,904,2,1,0,0,2.212,10,307,958,7,,false,0,Resources,,7.000,0,0
brson/stdx,2028,3,0,0,0,1.479,15,2099,3417,18,Rust,false,31,Resources,,4.000,0,0
rust-unofficial/patterns,8119,57,24,8,0,7.021,1,25,3315,102,Handlebars,false,0,Resources,,42.000,2,2
sger/RustBooks,4486,52,25,10,3,11.592,0,117,3025,37,,false,0,Resources,,40.000,0,0
rustviz/rustviz,2708,8,6,5,1,2.954,0,395,1497,13,HTML,false,0,Resources,,27.000,0,0
